143,etha,1,DATA,01/06/2021
144,iota,3,DATA,02/06/2021
145,alfa,1,DATA,03/06/2021
146,beta,4,DATA,04/06/2021
147,gama,2,DATA,05/06/2021
148,delta,4,DATA,06/06/2021
149,epsilon,2,DATA,07/06/2021
150,epson,4,DATA,08/06/2021
151,etha,5,DATA,09/06/2021
152,iota,4,DATA,10/06/2021
153,alfa,2,DATA,11/06/2021
154,beta,1,DATA,12/06/2021
155,gama,5,DATA,13/06/2021
156,delta,1,DATA,14/06/2021
157,epsilon,1,DATA,15/06/2021
158,epson,3,DATA,16/06/2021
159,etha,4,DATA,17/06/2021
160,iota,4,DATA,18/06/2021
161,alfa,4,DATA,19/06/2021
162,beta,4,DATA,20/06/2021
163,gama,2,DATA,21/06/2021
164,delta,2,DATA,22/06/2021
165,epsilon,1,DATA,23/06/2021
166,epson,5,DATA,24/06/2021
167,etha,3,DATA,25/06/2021
168,iota,1,DATA,26/06/2021
169,alfa,1,DATA,27/06/2021
170,beta,3,DATA,28/06/2021
171,gama,5,DATA,29/06/2021
172,delta,3,DATA,30/06/2021
173,epsilon,5,DATA,01/07/2021
174,epson,1,DATA,02/07/2021
175,etha,1,DATA,03/07/2021
176,iota,2,DATA,04/07/2021
177,alfa,5,DATA,05/07/2021
178,beta,2,DATA,06/07/2021
179,gama,1,DATA,07/07/2021
180,delta,5,DATA,08/07/2021
181,epsilon,5,DATA,09/07/2021
182,epson,4,DATA,10/07/2021
183,etha,1,DATA,11/07/2021
184,iota,2,DATA,12/07/2021
185,alfa,3,DATA,13/07/2021
186,beta,5,DATA,14/07/2021
187,gama,2,DATA,15/07/2021
188,delta,3,DATA,16/07/2021
189,epsilon,5,DATA,17/07/2021
190,epson,5,DATA,18/07/2021
191,etha,3,DATA,19/07/2021
192,iota,5,DATA,20/07/2021
193,alfa,1,DATA,21/07/2021
194,beta,2,DATA,22/07/2021
195,gama,1,DATA,23/07/2021
196,delta,4,DATA,24/07/2021
197,epsilon,2,DATA,25/07/2021
198,epson,2,DATA,26/07/2021
199,etha,2,DATA,27/07/2021
200,iota,1,DATA,28/07/2021
